state_abbr,latitude,longitude,enrollment
AL,31.590445,-86.255144,572
AL,31.952889,-86.313408,746
AL,31.713481,-86.275542,745
AL,34.187463,-86.835230,782
AL,34.185031,-86.845020,491
AL,34.188528,-86.842185,1014
AL,34.173532,-86.835894,466
AL,34.172802,-86.857503,490
AL,34.268100,-86.610400,379
AL,33.982384,-87.032348,235
AL,33.981296,-87.032279,500
AL,34.255046,-86.687902,512
AL,34.103474,-86.879640,485
AL,34.061130,-86.761228,363
AL,34.176974,-86.618899,278
AL,34.244071,-86.864278,348
AL,34.141878,-86.740683,218
AL,34.237830,-86.963235,591
AL,34.255889,-86.689462,601
AL,34.255046,-86.687902,291
AL,34.103474,-86.879640,393
AL,34.103474,-86.879640,378
AL,34.059784,-86.761972,648
AL,34.061174,-86.760295,284
AL,34.176544,-86.618130,634
AL,34.243480,-86.864742,487
AL,34.242421,-86.863807,225
AL,34.238407,-86.961972,496
AL,34.232600,-86.965000,397
AL,34.096504,-86.886048,401
AL,34.221608,-86.857801,170
AL,34.142600,-87.068500,337
AL,34.233400,-86.964400,250
AL,31.558902,-85.550938,492
AL,31.602171,-85.721035,887
AL,31.320654,-85.504214,437
AL,31.558902,-85.550938,377
AL,31.319032,-85.497916,478
AL,31.330459,-85.596223,293
AL,31.316538,-85.547018,412
AL,31.316204,-85.709728,347
AL,31.310664,-85.716025,507
AL,31.315262,-85.709418,302
AL,32.424211,-86.960933,204
AL,32.661814,-86.929631,334
AL,32.653107,-86.925102,110
AL,32.292538,-87.235715,188
AL,32.349680,-87.260308,155
AL,32.327267,-86.928401,285
AL,32.365948,-86.986067,147
AL,32.370884,-87.016155,176
AL,32.497574,-86.983395,353
AL,32.498767,-86.983650,180
AL,32.361089,-86.986316,151
AL,34.254667,-85.868708,906
AL,34.279927,-86.012271,658
AL,34.449581,-85.904180,954
AL,34.351312,-86.002879,1211
AL,34.634207,-85.768495,261
AL,34.712183,-85.675401,586
AL,34.482932,-85.822258,1167
AL,34.354421,-85.737725,175
AL,34.564558,-85.814556,915
AL,34.564117,-85.614128,517
AL,34.290223,-85.996301,649
AL,34.288709,-85.995136,770
AL,34.559720,-87.019324,727
AL,34.563684,-87.049556,999
AL,34.568352,-86.996900,463
AL,34.593282,-86.972160,915
AL,34.578368,-86.944626,272
AL,34.620722,-86.995625,297
AL,34.599163,-86.983474,477
AL,34.594774,-86.974021,818
AL,34.587817,-86.966039,481
AL,34.597794,-86.998309,407
AL,34.576781,-86.962602,251
AL,34.610770,-87.007076,251
AL,34.583494,-87.014162,361
AL,34.547727,-86.996904,428
AL,34.576658,-87.035054,349
AL,34.549500,-87.014100,436
AL,34.593282,-86.972160,37
AL,34.579540,-87.007634,664
AL,34.580773,-87.007688,269
AL,32.494584,-87.845732,594
AL,32.509700,-87.833700,394
AL,32.512639,-87.830178,431
AL,32.506000,-87.858100,499
AL,31.197391,-85.391887,429
AL,31.242223,-85.420710,449
AL,31.240067,-85.420846,380
AL,31.220293,-85.427818,389
AL,31.209272,-85.414584,421
AL,31.234443,-85.371781,326
AL,31.194400,-85.348000,476
AL,31.221100,-85.486800,501
AL,31.270546,-85.395863,381
AL,31.194437,-85.353124,338
AL,31.267600,-85.381400,1588
AL,31.278828,-85.466762,516
AL,31.208992,-85.394418,1034
AL,31.204597,-85.434200,183
AL,31.209408,-85.395181,226
AL,31.235999,-85.375118,583
AL,31.424377,-86.102541,379
AL,31.427146,-86.103090,224
AL,32.547487,-86.221644,647
AL,32.633407,-86.029487,494
AL,32.635617,-86.326048,555
AL,32.493753,-86.362369,1123
AL,32.547800,-86.214900,868
AL,32.552450,-86.222527,1219
AL,32.506200,-86.347300,797
AL,32.634300,-86.025400,468
