state,state_abbr,nces_school_id,school_name,district_name,county,latitude,longitude,enrollment,start_time,start_time_raw,school_level,inclusion_status
Oregon,OR,410180000236,OCEAN CREST ELEMENTARY SCHOOL,Bandon School District,Coos County,43.114400,-124.416700,240,08:25,,Elementary,included
Oregon,OR,410180000237,BANDON SENIOR HIGH SCHOOL,Bandon School District,Coos County,43.115600,-124.420400,212,08:15,,High,included
Oregon,OR,410183001176,BANKS ELEMENTARY SCHOOL,Banks School District,Washington County,45.611647,-123.113392,430,08:34,,Elementary,included
Oregon,OR,410183001179,BANKS MIDDLE SCHOOL,Banks School District,Washington County,45.614125,-123.113699,254,08:34,,Middle,included
Oregon,OR,410183001180,BANKS HIGH SCHOOL,Banks School District,Washington County,45.615275,-123.112573,397,08:34,,High,included
Oregon,OR,410192000210,NANCY RYLES ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.445100,-122.843500,447,07:45,,Elementary,included
Oregon,OR,410192000213,ARTS AND COMMUNICATION MAGNET ACADEMY,Beaverton School District,Washington County,45.494600,-122.793900,690,08:25,,Other/Mixed,included
Oregon,OR,410192000220,COMMUNITY SCHOOL,Beaverton School District,Washington County,45.506122,-122.848195,149,08:25,,Other/Mixed,included
Oregon,OR,410192000552,CONESTOGA MIDDLE SCHOOL,Beaverton School District,Washington County,45.446700,-122.802900,810,09:40,,Middle,included
Oregon,OR,410192000554,WESTVIEW HIGH SCHOOL,Beaverton School District,Washington County,45.550300,-122.865800,2423,08:55,,High,included
Oregon,OR,410192001204,ALOHA-HUBER PARK SCHOOL,Beaverton School District,Washington County,45.483965,-122.853820,901,07:45,,Other/Mixed,included
Oregon,OR,410192001205,BARNES ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.506300,-122.818400,451,07:45,,Elementary,included
Oregon,OR,410192001206,BEAVER ACRES ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.504410,-122.852956,778,07:45,,Elementary,included
Oregon,OR,410192001207,BETHANY ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.543000,-122.857900,413,07:45,,Elementary,included
Oregon,OR,410192001210,CEDAR MILL ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.526900,-122.782482,350,08:25,,Elementary,included
Oregon,OR,410192001211,CHEHALEM ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.475900,-122.837300,396,08:25,,Elementary,included
Oregon,OR,410192001212,COOPER MOUNTAIN ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.464600,-122.850700,384,08:25,,Elementary,included
